#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
11.871933,7,14.849905
9.936829,6,14.862629
10.208009,6,14.877206
10.934219,6,14.890489
10.219863,6,14.899114
10.904829,7,14.912605
10.781958,6,14.927344
10.282013,6,14.938243
10.985052,6,14.950815
10.56716,6,14.965344
10.772797,6,14.981915
10.889406,6,14.997001
9.846242,6,15.012284
10.887061,6,15.026837
10.860094,7,15.042441
11.010213,6,15.053776
11.947691,7,15.069143
10.906533,6,15.084175
12.141309,7,15.101015
10.89433,6,15.114998
10.760376,6,15.128758
10.592935,6,15.144298
12.032789,7,15.161122
10.248926,6,15.16933
10.784853,6,15.180596
11.943773,7,16.883187
10.018288,6,16.889404
10.993116,6,16.896836
11.96988,7,16.902524
12.302295,7,16.912015
10.951502,6,16.916094
10.661909,6,16.921047
10.424275,6,16.929397
10.499071,6,16.933754
10.68055,6,16.937706
12.129083,7,16.946899
12.07076,7,16.95147
13.089288,7,16.960544
10.505696,6,16.969453
9.101262,5,16.976716
10.961633,6,16.983532
10.369627,6,16.996958
10.854115,6,17.01089
10.487793,6,17.019102
10.744012,6,17.033983
10.512114,6,17.049574
10.68319,6,17.06367
11.058036,6,17.086921
12.203174,7,17.113173
11.99223,7,17.131434
12.193793,7,17.152895
10.770229,6,17.17351
12.244726,7,17.196126
12.116819,7,17.216887
11.455404,7,17.236741
10.494018,6,17.258337
12.625035,7,17.275297
12.138498,7,17.29848
10.256834,6,17.315155
10.815748,6,17.334141
10.690038,6,17.364899
12.07154,7,17.386823
10.297262,6,17.402583
9.059004,5,17.417566
12.338713,7,17.437165
12.073721,7,17.455981
10.195833,6,17.468362
9.913434,6,17.483322
10.965859,6,17.498019
10.672255,6,17.513764
12.208991,7,17.533334
11.035911,6,17.551493
10.918153,6,17.568256
10.822541,6,17.586273
10.367918,6,17.60397
13.097787,8,17.62004
9.632079,6,17.633601
10.993694,6,17.647967
12.242679,7,17.653324
9.89916,6,17.667621
10.510834,6,17.684935
10.375789,6,17.700659
10.396757,6,17.71612
12.143154,7,17.732135
10.674879,6,17.744595
10.281103,6,17.756782
10.367592,6,17.774595
10.860465,6,17.786106
10.913688,6,17.801689
11.030718,6,17.815872
10.40432,6,17.830934
10.288283,6,17.846291
10.912861,6,17.85693
10.441327,6,17.885998
12.016649,7,17.902
10.953155,6,17.916074
10.084795,6,17.932159
10.339859,6,17.950086
10.466148,6,17.965356
11.632221,7,17.980095
10.887686,6,17.989695
10.899032,6,18.002763
9.183513,5,18.013598
10.941217,6,18.01885
10.222703,6,18.029764
10.931299,6,18.034324
11.898096,7,18.043149
9.820358,6,18.04807
10.069484,6,18.052553
10.521481,6,18.058711
13.05413,7,18.066149
11.716539,7,18.074192
10.35716,6,18.080676
12.153921,7,18.085366
12.035499,7,18.095949
10.270755,6,18.100878
10.334119,6,18.111074
10.669758,6,18.117678
10.238605,6,18.128863
10.859263,6,18.133242
11.864474,7,18.144
12.105178,7,18.150007
10.959835,6,18.156562
11.535055,7,18.16792
10.738476,6,18.175402
12.197866,7,18.184974
10.578796,6,18.194198
11.406745,7,18.199528
12.204666,7,18.204415
12.082449,7,18.213963
10.784048,6,18.21842
10.048513,6,18.228553
10.73316,6,18.232445
10.616741,6,18.244325
13.669903,8,18.250598
9.754623,6,18.26
11.997592,7,18.265198
11.003933,6,18.27724
12.193504,7,18.287059
10.475416,6,18.301271
12.07956,7,18.317695
10.657203,6,18.334244
10.713541,6,18.345496
10.955657,6,18.359462
11.970008,7,18.368552
12.107187,7,18.386413
10.666847,6,18.406744
12.240143,7,18.441327
10.387726,6,18.465301
10.962655,6,18.498904
10.771933,6,18.518604
11.098568,6,18.533978
10.144627,6,18.54928
10.149388,6,18.565047
10.244693,6,18.580558
12.351688,7,18.59638
11.010954,6,18.604044
10.539905,6,18.614472
9.994957,6,18.618907
10.697471,6,18.627299
10.913707,6,18.631891
10.832589,6,18.637823
12.229344,7,18.646459
12.167498,7,18.652736
20.193006,12,18.666703
12.186929,7,18.680135
11.964738,7,18.690049
12.187613,7,18.700122
9.136385,5,18.704271
10.485493,6,18.716944
12.128468,7,18.729671
10.460727,6,18.736942
9.956901,6,18.746704
10.483721,6,18.752079
10.91968,6,18.761598
10.931682,6,18.766583
10.383963,6,18.771452
12.182546,7,18.780792
10.204255,6,18.794537
10.539506,6,18.804374
11.009596,6,18.814978
10.768888,6,18.8273
10.92183,6,18.836446
12.135421,7,18.849647
12.103191,7,18.857066
12.29819,7,18.867176
12.159484,7,18.873441
10.681634,6,18.884292
10.898821,6,18.892277
10.871143,6,18.90397
12.249941,7,18.915748
10.979002,6,18.922669
12.257498,7,18.931061
12.270989,7,18.936176
10.184726,6,18.948446
10.692345,6,18.961053
12.037721,7,18.975017
10.302848,6,18.986577
11.979862,7,19.00159
